date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
Oct 27-29,,-,-,-,-,-,-,43
Oct 6-8,,-,-,-,-,-,-,40
Sep 29-Oct 1,,-,-,-,-,-,-,39
Sep 22-24,,"$42,349,485",-24.4%,"$51,561,469",-16.5%,56,The Nun II,38
Sep 15-17,,"$56,042,286",-31.4%,"$61,779,333",-30.1%,53,The Nun II,37
Sep 8-10,,"$81,687,685",+3.1%,"$88,369,972",-0.9%,56,The Nun II,36
Sep 1-3,,"$79,244,392",+1.6%,"$89,206,083",-1.8%,57,The Equalizer 3,35
Sep 1-4,Labor Day wknd,"$101,367,979",-,"$115,048,875",-,56,The Equalizer 3,35
Aug 25-27,,"$78,022,576",-15%,"$90,841,625",-6.3%,67,Gran Turismo,34
Aug 18-20,,"$91,834,103",-15.4%,"$96,960,958",-13.4%,57,Blue Beetle,33
Aug 11-13,,"$108,489,585",-37.2%,"$111,915,549",-36.7%,58,Barbie,32
Aug 4-6,,"$172,767,141",-17.6%,"$176,729,294",-17.3%,57,Barbie,31
Jul 28-30,,"$209,751,460",-31.9%,"$213,639,184",-31.3%,52,Barbie,30
Jul 21-23,,"$307,805,201",+129.4%,"$310,949,541",+121.4%,52,Barbie,29
Jul 14-16,,"$134,207,030",+10.9%,"$140,459,317",+7.8%,52,Mission: Impossible - Dead Reckoning Part One,28
Jul 7-9,,"$121,030,650",-0.9%,"$130,313,393",+1.6%,53,Insidious: The Red Door,27
Jun 30-Jul 2,,"$122,142,874",+15.2%,"$128,259,180",+17.6%,45,Indiana Jones and the Dial of Destiny,26
Jun 30-Jul 4,July 4th long wknd,"$184,963,868",-,"$196,321,690",-,27,Indiana Jones and the Dial of Destiny,26
Jun 23-25,,"$106,020,773",-34.3%,"$109,094,811",-33.4%,49,Spider-Man: Across the Spider-Verse,25
Jun 16-18,,"$161,297,087",-1.4%,"$163,789,499",-0.9%,52,The Flash,24
Jun 9-11,,"$163,527,157",-19.6%,"$165,337,897",-19.4%,55,Transformers: Rise of the Beasts,23
Jun 2-4,,"$203,338,486",+26.4%,"$205,180,250",+25.8%,54,Spider-Man: Across the Spider-Verse,22
May 26-28,,"$160,808,155",+35.4%,"$163,142,631",+34%,61,The Little Mermaid,21
May 26-29,Memorial Day wknd,"$200,810,396",-,"$203,750,300",-,60,The Little Mermaid,21
May 19-21,,"$118,739,905",+24.8%,"$121,758,165",+20.8%,57,Fast X,20
May 12-14,,"$95,148,648",-39%,"$100,802,963",-37%,57,Guardians of the Galaxy Vol. 3,19
May 5-7,,"$156,015,546",+76.1%,"$159,898,817",+59.7%,52,Guardians of the Galaxy Vol. 3,18
Apr 28-30,,"$88,589,524",-25.3%,"$100,153,062",-19.8%,68,The Super Mario Bros. Movie,17
Apr 21-23,,"$118,529,087",-16.9%,"$124,827,104",-15.9%,64,The Super Mario Bros. Movie,16
Apr 14-16,,"$142,633,921",-29%,"$148,453,990",-27.6%,72,The Super Mario Bros. Movie,15
Apr 7-9,,"$200,889,479",+118.8%,"$205,108,583",+109.5%,70,The Super Mario Bros. Movie,14
Apr 7-10,Easter wknd,"$227,308,761",-,"$232,213,757",-,39,The Super Mario Bros. Movie,14
Mar 31-Apr 2,,"$91,814,122",-18.2%,"$97,914,730",-16%,67,Dungeons & Dragons: Honor Among Thieves,13
Mar 24-26,,"$112,191,657",+28.8%,"$116,624,505",+26.5%,67,John Wick: Chapter 4,12
Mar 17-19,,"$87,087,315",-23.2%,"$92,184,348",-21.9%,64,Shazam! Fury of the Gods,11
Mar 10-12,,"$113,369,708",+0.8%,"$118,089,113",+0.4%,70,Scream VI,10
Mar 3-5,,"$112,469,994",+27%,"$117,601,639",+24.8%,78,Creed III,9
Feb 24-26,,"$88,586,462",-36.1%,"$94,245,237",-35%,70,Ant-Man and the Wasp: Quantumania,8
Feb 17-19,,"$138,728,599",+190.1%,"$145,015,407",+175.5%,57,Ant-Man and the Wasp: Quantumania,7
Feb 17-20,Presidents' Day wknd,"$159,948,829",-,"$166,970,765",-,57,Ant-Man and the Wasp: Quantumania,7
Feb 10-12,,"$47,814,469",-33.8%,"$52,628,126",-35.3%,61,Magic Mike's Last Dance,6
Feb 3-5,,"$72,172,820",+15.9%,"$81,333,946",+12.3%,60,Knock at the Cabin,5
Jan 27-29,,"$62,261,869",-12%,"$72,456,636",-2.4%,63,Avatar: The Way of Water,4
Jan 20-22,,"$70,766,896",-28.4%,"$74,204,241",-28%,56,Avatar: The Way of Water,3
Jan 13-15,,"$98,902,358",-5.1%,"$103,015,764",-3%,48,Avatar: The Way of Water,2
Jan 13-16,MLK wknd,"$119,958,973",-,"$124,779,112",-,43,Avatar: The Way of Water,2
Jan 6-8,,"$104,267,030",+2.1%,"$106,246,109",+2.9%,44,Avatar: The Way of Water,1
